group_id,product,city_of_departure,ship,sail_date,sail_nights,num_date,year,month,day,group_name,currency,cabin_category,min_group_fare,max_group_fare,cabins_requested,cabins_named,cabins_unnamed
28502,Short Caribbean,"Fort Lauderdale, Florida",SM,"Thursday, October 09, 2025",4,2025-10-09,2025,10,9,TLN ADD CAD,CAD,"A2, C1, I1, I2, O1, O2, V1, V2","1,017",997,32,0,32
35951,Short Caribbean,,SM,"Monday, November 24, 2025",5,2025-11-24,2025,11,24,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O1, O2, V1, V2","1,128","2,078",32,0,32
53262,7n Caribbean,"Fort Lauderdale, Florida",SM,"Saturday, March 28, 2026",7,2026-03-28,2026,3,28,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O1, O2, V1, V2","1,846","2,587",29,0,29
59465,Short Caribbean,,SM,"Saturday, April 04, 2026",5,2026-04-04,2026,4,4,TLN ADD CAD,CAD,"A1, A2, C2, I1, I2, O1, O2, V1, V2","1,259","2,229",33,0,33
66174,Short Caribbean,"Fort Lauderdale, Florida",SM,"Thursday, April 09, 2026",4,2026-04-09,2026,4,9,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O1, O2, V1, V2","1,257","2,197",30,0,30
137101,Europe,"Southampton, England",AX,"Saturday, July 11, 2026",12,2026-07-11,2026,7,11,TLN ADD CAD,CAD,"C2, E2, O1","4,874","5,774",27,4,23
178229,Short Caribbean,"Fort Lauderdale, Florida",RF,"Monday, November 24, 2025",4,2025-11-24,2025,11,24,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O2, V1, V2, V3","1,100","1,560",30,0,30
185235,Short Caribbean,,RF,"Friday, February 13, 2026",3,2026-02-13,2026,2,13,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O2, V1, V2, V3","1,090",970,28,0,28
192387,Short Caribbean,"Fort Lauderdale, Florida",RF,"Monday, March 30, 2026",4,2026-03-30,2026,3,30,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O2, V1, V2, V3","1,102","1,562",30,0,30
196327,Short Caribbean,"Fort Lauderdale, Florida",RF,"Friday, April 03, 2026",3,2026-04-03,2026,4,3,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O2, V1, V2, V3","1,001",991,30,0,30
351627,7n Caribbean,"Fort Lauderdale, Florida",SI,"Saturday, December 27, 2025",8,2025-12-27,2025,12,27,TLN DV CAD NO INSIDES,CAD,"A2, C1, C2, I1, V1, V2","3,945","4,725",24,0,24
352590,Long Caribbean,"Fort Lauderdale, Florida",AT,"Friday, November 21, 2025",10,2025-11-21,2025,11,21,TLN DV CAD NO INSIDES,CAD,"P1, P2","3,681","3,751",7,0,7
355450,Canals,"Fort Lauderdale, Florida",AT,"Monday, February 02, 2026",11,2026-02-02,2026,2,2,TLN DV CAD NO INSIDES,CAD,"A1, E3, P1","4,896","6,546",12,2,10
414671,7n Caribbean,"Fort Lauderdale, Florida",SI,"Saturday, March 07, 2026",8,2026-03-07,2026,3,7,TLN DV CAD NO INSIDES,CAD,"A1, A2, C1, C2, DV, V1, V2, V3","2,879","3,639",16,0,16
416138,7n Caribbean,"Fort Lauderdale, Florida",SI,"Saturday, January 24, 2026",8,2026-01-24,2026,1,24,TLN DV CAD NO INSIDES,CAD,"A1, A2, C2, V2, V3","2,846","3,476",14,1,13
420650,7n Caribbean,,EC,"Saturday, February 28, 2026",8,2026-02-28,2026,2,28,TLN DV CAD NO INSIDES,CAD,"A2, C1, O1, V1, V3","2,569","3,199",10,2,8
421944,7n Caribbean,,EC,"Saturday, March 28, 2026",8,2026-03-28,2026,3,28,TLN DV CAD NO INSIDES,CAD,"A1, A2, C1, C2, O1, V1, V3","2,560","3,250",15,2,13
427623,Samerica,"Buenos Aires, Argentina",EQ,"Saturday, January 03, 2026",14,2026-01-03,2026,1,3,TLN DV CAD NO INSIDES,CAD,"A1, A2, C1, C2, V3","5,427","6,937",16,1,15
429882,Samerica,,EQ,"Saturday, January 17, 2026",14,2026-01-17,2026,1,17,TLN DV CAD NO INSIDES,CAD,"A1, A2, C1, C2, V2","5,437","7,007",14,2,12
575123,7n Caribbean,"San Juan, Puerto Rico",CS,"Saturday, December 26, 2026",7,2026-12-26,2026,12,26,TLN ADD CAD,CAD,"I1, I2, O1","2,630","2,868",25,0,25
585699,Long Caribbean,"San Juan, Puerto Rico",CS,"Tuesday, November 17, 2026",11,2026-11-17,2026,11,17,TLN ADD CAD,CAD,"A2, C1, C2, O1, V1","3,089","4,203",23,0,23
590693,7n Caribbean,,CS,"Sunday, March 29, 2026",7,2026-03-29,2026,3,29,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O1, O2","1,872","2,692",16,0,16
592169,7n Caribbean,"San Juan, Puerto Rico",CS,"Saturday, November 28, 2026",7,2026-11-28,2026,11,28,TLN ADD CAD,CAD,"I1, I2, O1","1,945","2,023",24,0,24
594612,7n Caribbean,,CS,"Sunday, April 05, 2026",7,2026-04-05,2026,4,5,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, O1, O2","1,820","2,640",15,0,15
596387,7n Caribbean,"Fort Lauderdale, Florida",SI,"Sunday, November 23, 2025",6,2025-11-23,2025,11,23,TLN ADD CAD,CAD,"A1, A2, C2, I1, I2, O1, O2, V1, V2, V3","1,760","2,990",17,0,17
598236,7n Caribbean,"San Juan, Puerto Rico",CS,"Saturday, December 05, 2026",7,2026-12-05,2026,12,5,TLN ADD CAD,CAD,"I1, I2, O1, O2","1,989","2,067",25,0,25
600306,7n Caribbean,"Fort Lauderdale, Florida",SI,"Sunday, December 21, 2025",6,2025-12-21,2025,12,21,TLN ADD CAD,CAD,"A2, C1, C2, I1, I2, V1, V2, V3","1,841","3,430",16,1,15
603916,7n Caribbean,,SI,"Saturday, February 07, 2026",8,2026-02-07,2026,2,7,TLN ADD CAD,CAD,"A1, C1, C2, I1, I2, V2, V3","2,506","3,476",14,0,14
608164,7n Caribbean,"San Juan, Puerto Rico",CS,"Saturday, December 12, 2026",7,2026-12-12,2026,12,12,TLN ADD CAD,CAD,"I1, I2, O1, O2","1,958","2,036",25,0,25
611998,7n Caribbean,"San Juan, Puerto Rico",CS,"Saturday, December 19, 2026",7,2026-12-19,2026,12,19,TLN ADD CAD,CAD,"I1, I2, O1","2,216","2,361",25,0,25
614441,7n Caribbean,,SI,"Saturday, April 04, 2026",8,2026-04-04,2026,4,4,TLN ADD CAD,CAD,"A1, A2, C1, C2, I1, I2, V1, V2, V3","2,515","3,425",26,3,23
621041,7n Caribbean,"San Juan, Puerto Rico",CS,"Saturday, January 02, 2027",7,2027-01-02,2027,1,2,TLN ADD CAD,CAD,"I1, I2, O1","1,918","2,009",25,0,25
