Product,City of departure,Ship,Sail Date,Group ID,Cabin Category,Cabins Requested,Cabins Named,Cabins Unnamed,Price,Group Fare*,LAF*,Group Fare Advantage,Taxes per guest,Currency,Group Name,Sail Nights
Europe,"Reykjavik, Iceland",SI,08/08/26,1459606,SV,19,5,14,GROUPX,"4,469","17,952","-13,483",290,CAD,TLN DV CAD NO INSIDES,7
Europe,"Amsterdam, Netherlands",EC,08/02/26,2155533,A1,8,0,8,GROUPX,"5,958","13,887","-7,929",449,CAD,TLN ADD CAD,12
Europe,"Amsterdam, Netherlands",EC,06/21/26,2142638,A1,8,4,4,GROUPX,"6,095","13,415","-7,320",486,CAD,TLN ADD CAD,12
Europe,"Southampton, England",AX,05/16/26,8493251,C2,8,3,5,GROUPX,"6,097","13,082","-6,985",448,CAD,TLN ADD CAD,13
Europe,"Amsterdam, Netherlands",EC,08/02/26,2155533,C1,8,0,8,GROUPX,"4,908","11,028","-6,120",449,CAD,TLN ADD CAD,12
Asia,"Tokyo (Yokohama), Japan",ML,04/21/26,9436173,C2,5,0,5,GROUPX,"5,942","11,941","-5,999",153,CAD,TLN ADD CAD,11
Asia,"Tokyo (Yokohama), Japan",ML,04/21/26,9436173,A2,8,0,8,GROUPX,"6,592","12,410","-5,818",153,CAD,TLN ADD CAD,11
Aust/Nzl/Sopac,"Sydney, Australia",EG,01/29/26,6027412,C3,1,0,1,GROUPX,"5,783","11,531","-5,748",554,CAD,TLN DV CAD NO INSIDES,13
Europe,"Amsterdam, Netherlands",EC,06/21/26,2142638,C1,9,1,8,GROUPX,"5,035","10,750","-5,715",486,CAD,TLN ADD CAD,12
Europe,"Amsterdam, Netherlands",EC,06/21/26,2142638,C1,2,1,1,STANDARD,"5,035","10,750","-5,715",486,CAD,TLN ADD CAD,12
Europe,"Southampton, England",AX,06/06/26,8509065,A2,3,2,1,GROUPX,"7,547","13,245","-5,698",398,CAD,TLN ADD CAD,14
Europe,"Southampton, England",AX,06/06/26,8509065,C2,9,2,7,GROUPX,"6,297","11,821","-5,524",398,CAD,TLN ADD CAD,14
Europe,"Southampton, England",AX,06/06/26,8509065,C2,1,0,1,STANDARD,"6,297","11,821","-5,524",398,CAD,TLN ADD CAD,14
Europe,"Amsterdam, Netherlands",EC,05/21/26,2138980,A1,7,1,6,GROUPX,"5,637","11,129","-5,492",486,CAD,TLN ADD CAD,12
Europe,"Southampton, England",AX,08/29/26,1711596,E2,8,5,3,GROUPX,"6,167","11,317","-5,150",378,CAD,TLN ADD CAD,14
Long Caribbean,,AT,03/27/26,5908907,A2,2,0,2,GROUPX,"4,424","9,474","-5,050",185,CAD,TLN ADD CAD,10
Europe,"Southampton, England",AX,08/29/26,1711596,C2,7,0,7,GROUPX,"6,467","11,503","-5,036",378,CAD,TLN ADD CAD,14
Long Caribbean,,AT,03/27/26,5908907,A1,2,0,2,GROUPX,"4,554","9,558","-5,004",185,CAD,TLN ADD CAD,10
Europe,"Amsterdam, Netherlands",EC,05/21/26,2138980,C1,8,2,6,GROUPX,"4,878","9,737","-4,859",486,CAD,TLN ADD CAD,12
Europe,"Amsterdam, Netherlands",EC,08/14/26,1534099,V1,3,1,2,GROUPX,"4,537","9,280","-4,743",498,CAD,TLN DV CAD NO INSIDES,12
Asia,"Tokyo (Yokohama), Japan",ML,04/21/26,9436173,C1,1,0,1,STANDARD,"7,579","12,310","-4,731",153,CAD,TLN ADD CAD,11
Europe,,AT,10/09/26,6151577,A2,10,0,10,GROUPX,"5,817","10,501","-4,684",238,CAD,TLN ADD CAD,10
Europe,"Amsterdam, Netherlands",EC,05/21/26,2138980,C2,1,0,1,GROUPX,"4,990","9,653","-4,663",486,CAD,TLN ADD CAD,12
Europe,"Amsterdam, Netherlands",EC,08/14/26,1534099,V2,6,1,5,GROUPX,"4,537","9,195","-4,658",498,CAD,TLN DV CAD NO INSIDES,12
Europe,"Amsterdam, Netherlands",EC,07/03/26,4395001,C1,10,2,8,GROUPX,"5,026","9,645","-4,619",437,CAD,TLN DV CAD NO INSIDES,12
Europe,"Amsterdam, Netherlands",EC,05/09/26,2135927,C1,8,2,6,GROUPX,"4,908","9,518","-4,610",459,CAD,TLN ADD CAD,12
Europe,,AT,09/18/26,5196853,C1,7,2,5,GROUPX,"4,865","9,470","-4,605",238,CAD,TLN DV CAD NO INSIDES,10
Europe,,AT,09/18/26,5196853,C2,17,0,17,GROUPX,"4,799","9,378","-4,579",238,CAD,TLN DV CAD NO INSIDES,10
Europe,,AT,09/18/26,5196853,C2,1,0,1,STANDARD,"4,799","9,378","-4,579",238,CAD,TLN DV CAD NO INSIDES,10
Europe,"Rome (Civitavecchia), Italy",AT,05/15/26,6055317,C1,3,0,3,GROUPX,"4,766","9,308","-4,542",238,CAD,TLN ADD CAD,10
Canals,"Fort Lauderdale, Florida",SM,04/13/26,4925260,A2,5,0,5,GROUPX,"8,093","12,620","-4,527",664,CAD,TLN DV CAD NO INSIDES,17
Europe,"Rome (Civitavecchia), Italy",AT,05/15/26,6055317,C2,5,0,5,GROUPX,"4,700","9,208","-4,508",238,CAD,TLN ADD CAD,10
Samerica,"Buenos Aires, Argentina",EQ,01/03/26,427623,A1,4,1,3,GROUPX,"6,937","11,387","-4,450",558,CAD,TLN DV CAD NO INSIDES,14
Europe,"Southampton, England",AX,05/16/26,8493251,E2,8,1,7,GROUPX,"5,787","10,210","-4,423",448,CAD,TLN ADD CAD,13
Samerica,"Buenos Aires, Argentina",EQ,01/03/26,427623,A2,4,0,4,GROUPX,"6,737","11,137","-4,400",558,CAD,TLN DV CAD NO INSIDES,14
Europe,"Southampton, England",AX,06/06/26,8509065,E2,7,5,2,GROUPX,"5,987","10,202","-4,215",398,CAD,TLN ADD CAD,14
Europe,"Southampton, England",AX,08/01/26,4830049,A2,4,0,4,GROUPX,"8,499","12,697","-4,198",390,CAD,TLN DV CAD NO INSIDES,14
Europe,,AT,10/19/26,6160854,E1,5,0,5,GROUPX,"4,707","8,816","-4,109",455,CAD,TLN ADD CAD,11
Europe,"Amsterdam, Netherlands",EC,07/03/26,4395001,V3,7,0,7,GROUPX,"4,536","8,608","-4,072",437,CAD,TLN DV CAD NO INSIDES,12
Aust/Nzl/Sopac,"Auckland, New Zealand",EG,03/18/26,8871087,C1,6,0,6,GROUPX,"4,641","8,689","-4,048",482,CAD,TLN ADD CAD,11
Europe,"Amsterdam, Netherlands",EC,07/03/26,4395001,A1,10,1,9,GROUPX,"6,086","10,122","-4,036",437,CAD,TLN DV CAD NO INSIDES,12
Europe,"Amsterdam, Netherlands",EC,05/21/26,2138980,V2,1,0,1,STANDARD,"4,402","8,407","-4,005",486,CAD,TLN ADD CAD,12
Europe,"Amsterdam, Netherlands",EC,06/02/26,1522160,V2,9,3,6,GROUPX,"4,548","8,544","-3,996",469,CAD,TLN DV CAD NO INSIDES,12
Europe,"Rome (Civitavecchia), Italy",AT,06/26/26,5184750,C2,11,3,8,GROUPX,"4,997","8,973","-3,976",238,CAD,TLN DV CAD NO INSIDES,10
Asia,"Hong Kong, China",ML,11/12/26,8336882,C1,3,0,3,GROUPX,"5,279","9,214","-3,935",208,CAD,TLN ADD CAD,14
Europe,"Amsterdam, Netherlands",EC,08/14/26,1534099,C2,7,3,4,GROUPX,"4,967","8,879","-3,912",498,CAD,TLN DV CAD NO INSIDES,12
Europe,"Amsterdam, Netherlands",EC,08/14/26,1534099,C2,1,0,1,STANDARD,"4,967","8,879","-3,912",498,CAD,TLN DV CAD NO INSIDES,12
Aust/Nzl/Sopac,"Honolulu, Oahu, Hawaii",EG,09/28/26,8138371,A2,8,0,8,GROUPX,"8,069","11,964","-3,895",280,CAD,TLN DV CAD NO INSIDES,18
Europe,"Southampton, England",AX,10/08/25,3299793,A2,1,0,1,GROUPX,"6,065","9,950","-3,885",276,CAD,TLN ADD CAD,11
Europe,"Southampton, England",AX,07/11/26,137101,C2,9,2,7,GROUPX,"5,774","9,653","-3,879",395,CAD,TLN ADD CAD,12
Europe,"Amsterdam, Netherlands",EC,06/02/26,1522160,C2,9,1,8,GROUPX,"4,968","8,813","-3,845",469,CAD,TLN DV CAD NO INSIDES,12
Aust/Nzl/Sopac,"Sydney, Australia",EG,04/20/26,6086975,A2,1,0,1,GROUPX,"7,865","11,683","-3,818",306,CAD,TLN DV CAD NO INSIDES,18
Europe,,AT,10/09/26,6151577,C2,5,0,5,GROUPX,"4,997","8,804","-3,807",238,CAD,TLN ADD CAD,10
Europe,"Southampton, England",AX,09/26/26,1543355,E1,2,0,2,STANDARD,"4,563","8,359","-3,796",304,CAD,TLN DV CAD NO INSIDES,11
Europe,,AT,10/19/26,6160854,C1,4,0,4,GROUPX,"5,504","9,264","-3,760",455,CAD,TLN ADD CAD,11
Canals,"Fort Lauderdale, Florida",SM,04/13/26,4925260,V3,3,0,3,GROUPX,"7,023","10,758","-3,735",664,CAD,TLN DV CAD NO INSIDES,17
Europe,,AT,10/19/26,6160854,C2,5,0,5,GROUPX,"5,504","9,164","-3,660",455,CAD,TLN ADD CAD,11
Canals,"Fort Lauderdale, Florida",AT,12/22/25,3723267,C2,10,1,9,GROUPX,"5,775","9,430","-3,655",696,CAD,TLN DV CAD NO INSIDES,11
Canals,"Fort Lauderdale, Florida",AT,12/22/25,3723267,C1,10,0,10,GROUPX,"5,825","9,480","-3,655",696,CAD,TLN DV CAD NO INSIDES,11
Long Caribbean,,AT,03/27/26,5908907,C2,1,0,1,GROUPX,"3,764","7,315","-3,551",185,CAD,TLN ADD CAD,10
Aust/Nzl/Sopac,"Sydney, Australia",SL,04/09/26,934161,A1,4,0,4,STANDARD,"6,038","9,552","-3,514",169,CAD,TLN ADD CAD,16
Europe,"Ravenna, Italy",EC,09/28/26,1538313,C2,9,1,8,GROUPX,"4,498","8,002","-3,504",409,CAD,TLN DV CAD NO INSIDES,11
Europe,"Rome (Civitavecchia), Italy",AT,05/15/26,6055317,E3,5,0,5,GROUPX,"4,807","8,299","-3,492",238,CAD,TLN ADD CAD,10
